C,Si,Mn,P,S,Mo,Ni,Al,N,Nb,V,B,Ti,Cr,Ce,Cu,Ca,Zr,O,UTS
0.16,0.32,1.44,0.017,0.009,0.003,0.03,0.026,0.011,0.003,0.003,0,0.003,0.04,0,0.01,0,0,0.0054,565
0.16,0.27,1.26,0.016,0.008,0.003,0.02,0.01,0.0093,0.003,0.003,0,0.003,0.01,0,0.01,0,0,0.0071,512
0.16,0.27,1.27,0.016,0.008,0.003,0.02,0.014,0.0094,0.003,0.003,0,0.003,0.01,0,0.01,0,0,0.0096,513
0.16,0.27,1.26,0.016,0.008,0.003,0.02,0.01,0.0092,0.003,0.003,0,0.003,0.01,0,0.01,0,0,0.0078,513
0.15,0.23,1.29,0.016,0.008,0.003,0.02,0.013,0.0094,0.003,0.003,0,0.003,0.01,0,0.01,0,0,0.0061,511
0.16,0.24,1.3,0.016,0.008,0.003,0.02,0.013,0.0095,0.003,0.003,0,0.003,0.01,0,0.01,0,0,0.0067,516
0.16,0.33,1.45,0.017,0.009,0.003,0.03,0.028,0.011,0.003,0.003,0,0.003,0.04,0,0.01,0,0,0.0047,535
0.16,0.33,1.45,0.017,0.009,0.003,0.03,0.03,0.011,0.003,0.003,0,0.003,0.04,0,0.01,0,0,0.0051,534
0.16,0.32,1.44,0.017,0.009,0.003,0.03,0.026,0.011,0.003,0.003,0,0.003,0.04,0,0.01,0,0,0.0054,540
0.068,0.37,1.4,0.014,0.005,0.02,0.07,0.025,0.02,0.003,0.1,0.0003,0.002,0.09,0,0.07,0,0,0.0096,642
0.068,0.37,1.4,0.014,0.005,0.02,0.07,0.025,0.02,0.003,0.1,0.0003,0.002,0.09,0,0.07,0,0,0.0096,703
0.068,0.37,1.4,0.014,0.005,0.02,0.07,0.025,0.02,0.003,0.1,0.0003,0.002,0.09,0,0.07,0,0,0.0096,644
0.065,0.47,1.44,0.015,0.006,0.02,0.07,0.026,0.017,0.003,0.1,0.0003,0.009,0.09,0,0.07,0,0,0.0058,571
0.065,0.47,1.44,0.015,0.006,0.02,0.07,0.026,0.017,0.003,0.1,0.0003,0.009,0.09,0,0.07,0,0,0.0058,609
0.065,0.47,1.44,0.015,0.006,0.02,0.07,0.026,0.017,0.003,0.1,0.0003,0.009,0.09,0,0.07,0,0,0.0058,579
0.1,0.25,1.41,0.011,0.003,0,0.02,0.032,0.0055,0.005,0.029,0,0,0,0,0.02,0,0,0,464
0.1,0.26,1.45,0.011,0.003,0,0.016,0.025,0.0052,0.005,0.054,0,0,0,0,0.02,0,0,0,480
0.14,0.26,1.43,0.011,0.003,0,0.02,0.029,0.005,0.005,0.05,0,0,0,0,0.02,0,0,0,512
0.11,0.26,1.4,0.009,0.003,0,0.02,0.03,0.009,0.005,0.028,0,0,0,0,0.02,0,0,0,486
0.16,0.26,1.45,0.011,0.003,0.005,0.02,0.04,0.0051,0.005,0.026,0,0,0.02,0,0.02,0,0,0,521
0.16,0.26,1.45,0.011,0.003,0.005,0.02,0.038,0.0056,0.005,0.043,0,0,0.02,0,0.02,0,0,0,535
0.15,0.29,1.47,0.013,0.003,0.005,0.02,0.038,0.012,0.005,0.027,0,0,0.02,0,0.02,0,0,0,538
0.14,0.27,1.46,0.012,0.003,0.005,0.02,0.038,0.014,0.005,0.047,0,0,0.02,0,0,0,0,0,552
0.045,0.55,1.41,0.013,0.015,0.01,0.02,0.039,0.0067,0.005,0.06,0,0,0.02,0,0.02,0,0,0,477
0.045,0.5,1.4,0.015,0.012,0.01,0.02,0.037,0.0065,0.005,0.005,0,0.012,0.02,0,0.02,0,0,0,428
0.046,0.53,1.37,0.012,0.014,0.01,0.02,0.038,0.0065,0.005,0.06,0,0,0.02,0,0.02,0,0,0,435
